"vowel","i_y","i_z","i_x"
"i",0.252247333070493,0.87787402386931,0.145279947293792
"i",0.202919134224479,0.923214298218497,0.069630058562701
"i",0.239287703475391,0.94879579104095,0.114649226125626
"i",0.237914165793924,0.930229934923414,0.093105228922354
"i",0.197689603039526,0.986658962438845,0.153955939815823
"i",0.252701050451745,0.98835995764319,0.080065679870202
"i",0.231714223285668,0.924404927991735,0.09754044782956
"i",0.181067281196671,0.949625895658821,0.079461517382714
"i",0.297943847681353,0.829342452277755,0.096892921333694
"i",0.291982841919327,0.829724854856016,0.126399611856917
"i",0.235717099608501,0.897859037095287,0.115416441188564
"i",0.267580884147699,0.846300321172723,0.127093202177053
"i",0.319250217143224,0.838310041762732,0.096832165652774
"i",0.238165139746874,0.958967100171673,0.10453081951469
"i",0.272743723473641,0.859527063447877,0.110746399191232
"i",0.227032642315757,0.887469004295315,0.182217171567023
"i",0.269645057208707,0.869671963545866,0.07096017894055
"i",0.196850931847181,0.973371164810086,0.116537194725839
"i",0.223817199467335,0.91594338721735,0.102053360535984
"i",0.233331490752342,0.93376225345542,0.101244992709357
"i",0.23574492560395,0.959460620686679,0.080849773996406
"i",0.223957855409378,0.916114656336656,0.152495715769811
"i",0.286031782780625,0.846767250033164,0.114545823801456
"i",0.261979237877369,0.926758514426012,0.088340245475838
"i",0.204552975653241,0.958769940857123,0.092939275799273
"i",0.27029206083593,0.87050424609537,0.074665163284602
"i",0.227546147309878,0.970065020376109,0.089672401212588
"i",0.25875133771227,0.91774545383425,0.109295485618679
"i",0.248666661077461,0.91939496486598,0.137139855482186
"i",0.193140854295321,0.979048651250015,0.126870962728878
"i",0.24670174994304,0.971917933968594,0.058159485801206
"i",0.262818572398008,0.874729197533599,0.147232573831772
"i",0.253308021528812,0.900221728201329,0.141686538819435
"i",0.27621877856336,0.904635072188398,0.065221730069367
"i",0.31018151605049,0.81495128674772,0.088786248634665
"i",0.285853605822389,0.897860085054242,0.135861466820046
"i",0.233083835851063,0.914125448377109,0.091950850859235
"i",0.249064680524276,0.868125647671725,0.134335718853367
"i",0.252380726414486,0.890810455779952,0.139090340914623
"i",0.204207778449154,0.968703609807258,0.061977793259342
"i",0.182083715758929,0.965747158363564,0.150648725935844
"i",0.258433502519267,0.844277002212992,0.109589936389349
"i",0.201943753807084,0.901113561682785,0.13973029172677
"i",0.257372743568876,0.898929570032895,0.09962040741405
"i",0.226355764487859,0.969074173710023,0.084826175935016
"i",0.238214745327106,0.891203804347535,0.14089636748713
"i",0.218266517332728,0.94344776643081,0.117959213105767
"i",0.208429555772517,0.950106085267342,0.129164789223968
"i",0.237762530267212,0.907017980973497,0.111607275667678
"i",0.226826329072949,0.945489913787167,0.072106902648092
"i",0.272228849659855,0.848140568267423,0.139925586021946
"i",0.247900874117361,0.874384911870224,0.116926657693165
"i",0.171621879851507,0.857194801407148,0.195008064225486
"i",0.249367546639834,0.873916743114534,0.136997417848114
"i",0.236884731130707,0.954935560268432,0.09076809260993
"i",0.257909677657552,0.923434217039544,0.041699327558746
"i",0.121245048367322,1.0745774200285,0.120453604234991
"i",0.308063813568785,0.788613025938743,0.156365805283638
"i",0.265217077649641,0.910874829192217,0.08330828409551
"i",0.243538789369038,0.88656303602945,0.126715134464538
"i",0.197825197441723,0.943325261417442,0.162177074863094
"i",0.240912600986337,0.90019153426101,0.105695940720119
"i",0.188349798686864,0.950770723926632,0.092715096462813
"i",0.256595258449883,0.819328412554408,0.136253583882672
"i",0.257799535392296,0.849557509354967,0.083505113592237
"i",0.200062197204499,0.979501552561309,0.156657437683381
"i",0.259780471689607,0.929898793191116,0.089795072433322
"i",0.269767266083601,0.922994168209196,0.108328766177804
"i",0.266622204096783,0.907280286707612,0.118227631363221
"i",0.266803856749452,0.897395648641228,0.128842963763697
"i",0.242636832832039,0.860353694269479,0.196425952502722
"i",0.320753604861433,0.7714046038103,0.138958683738735
"i",0.182417108233994,0.984617753268644,0.124365789332408
"i",0.252071055992469,0.912593983573094,0.083057262596323
"i",0.192902290870976,0.926480172032159,0.172136017794303
"i",0.196332408572982,0.868631808154882,0.093339377619772
"i",0.225728158540729,0.895976669285622,0.172134635795334
"i",0.244687079128034,0.829885645535151,0.181433755637301
"i",0.224221311209356,0.940986087560523,0.120966386148871
"i",0.273630186137662,0.883292200601806,0.134357725663602
"i",0.211632085663518,0.969743657607901,0.133339018065067
"i",0.268139689362351,0.87418640772702,0.113902364521445
"i",0.28535443922501,0.757688378214536,0.202314664551909
"i",0.213167098192304,0.942679106255097,0.160834256967163
"i",0.315519679098167,0.864440901706853,0.083539837196279
"i",0.274272037772604,0.862235287792173,0.128572376796595
"i",0.296606800266886,0.871133694909336,0.124956189995875
"i",0.099007558259085,1.02981060806927,0.111787586646399
"i",0.300196972404132,0.8898272899885,0.112653902350035
"i",0.186151308127157,0.94907978113305,0.135121329647329
"i",0.227457149166832,0.872450811793977,0.134338023969506
"i",0.222350618214782,0.950087178658287,0.169512466785854
"i",0.239914938287139,0.934563551952251,0.113679809435966
"i",0.30734293090129,0.88188406581438,0.12469230539893
"i",0.238583000758267,0.968368042156853,0.091630151649661
"i",0.23066883023536,0.931293465760952,0.102280166689098
"i",0.255588176516641,0.896337185659477,0.129968386638184
"i",0.853599253372986,0.319974993405508,0.15232858129149
"i",0.255708671148758,0.90814646041088,0.122570461881485
"i",0.285999476023226,0.875079163374627,0.074090278760716
"i",0.231874322214011,0.935828075973692,0.150134304212522
"i",0.229886500581166,0.94298343812932,0.10570950004946
"i",0.127502473200763,0.992036849116487,0.167999028965806
"i",0.739399339410909,0.308504835135584,0.245344406774724
"i",0.229148229795121,0.868772913327403,0.163338668863089
"i",0.23908749065292,1.00357981659146,0.124991859556878
"i",0.2188752681514,0.907719258236836,0.144899879467264
"i",0.276552533677978,0.823723390437222,0.179458612594074
"i",0.230005637664676,0.951990384996938,0.039963357933439
"i",0.157507261237675,0.978298203115884,0.068322610192865
"i",0.179432366402956,0.947479350145938,0.161425404101127
"i",0.245614204962825,0.939537415073428,0.150589227212458
"i",0.244228775639972,0.942696748365811,0.123944179987324
"i",0.288891938107823,0.96907725859727,0.09491674021329
"i",0.222361643281813,0.821612184527473,0.179075021712141
"i",0.156342720070511,0.9708558636426,0.158995078170801
"i",0.219640437557125,0.867056239571583,0.144533472011683
"i",0.289546172079194,0.893243374361019,0.102760543209158
"i",0.179376580918842,0.966586370198271,0.18223508977629
"i",0.183655222389103,0.94626763662288,0.102932152967151
"i",0.218086083501307,0.925834372044214,0.13272752150847
"i",0.259679555077723,0.922520105048371,0.088409130266272
"i",0.23852354886923,0.918913751478177,0.142167148886329
"i",0.249767870981199,0.902599126120041,0.15291752875748
"i",0.225994162427084,0.955203632484356,0.12077130951898
"i",0.278521492511466,0.882314762157523,0.097324788865831
"i",0.20384462034975,0.933511638048038,0.134909876244695
"i",0.263912924674587,0.852114154686039,0.137203307582812
"i",0.250479234674492,0.872116875153572,0.148037150767854
"i",0.248168960571431,0.974049885382072,0.088956070168334
"i",0.256211576234658,0.928465000400584,0.101771718720947
"i",0.242073142911882,0.930578948596111,0.117231445556775
"i",0.20699397785929,0.93610016454243,0.133663738924222
"i",0.084210675770875,1.02644511517709,0.218003296298402
"i",0.214993111925402,0.952985569915014,0.104405809033904
"i",0.213918219957522,0.882919601251866,0.18163188905878
"i",0.17545926839198,0.983145702866444,0.111130637493221
"i",0.210926524085305,0.996502939922748,0.098282616705223
"i",0.246594895903232,0.90963269463091,0.113650140213843
"i",0.223119222455144,0.924091209082928,0.10429297289465
"i",0.270364390842118,0.870233651821313,0.10102769335462
"i",0.20885201991616,0.919595218273106,0.145668417852578
"i",0.229132535732836,0.902352439878652,0.176991740424432
"i",0.115129175647994,0.997615015649742,0.163442388334575
"i",0.228527700669393,0.893831182368553,0.135298488350437
"i",0.216116696726624,0.957745577858437,0.129770920134236
"i",0.173607042041653,1.01341362405159,0.090947759338549
"i",0.291104365731612,0.870577721064551,0.09804287013185
"i",0.203415337393668,0.975777818380038,0.135138120176294
"i",0.287991358793566,0.887406280160822,0.078104205526393
"i",0.276018273844201,0.930523778466321,0.030261803658637
"i",0.223576813301389,0.987754259031372,0.039174890291789
"i",0.215745156690857,0.974545885617741,0.097522040246982
"i",0.232845299060324,0.840127955730847,0.18795300021257
"i",0.230391086971187,0.9579894856225,0.116243488552988
"i",0.277038537857374,0.777688898846092,0.159952939508051
"i",0.236493412447487,0.879381998475314,0.17246150554763
"i",0.246373981573671,0.891320267444936,0.125201112058466
"i",0.226366088780396,0.916691141951895,0.109169949865636
"i",0.228222393692648,0.882776655210555,0.173323428686305
"i",0.231895904951886,0.881482174166914,0.088699666189823
"i",0.18997949164101,0.955722445332383,0.174684733152033
