a_y,a_z,a_x,i_y,i_z,i_x,u_y,u_z,u_x
0.588739222911463,0.296464774654572,0.287810955837894,0.252247333070493,0.87787402386931,0.145279947293792,0.313194477113814,0.387491084214928,0.472741687633188
0.53218109434302,0.322240431843782,0.344434386137122,0.202919134224479,0.923214298218497,0.069630058562701,0.265409682891591,0.409953295455155,0.47901341126815
0.643843998093962,0.253123359647731,0.357110987688184,0.239287703475391,0.94879579104095,0.114649226125626,0.391269565184461,0.567275812468092,0.338784355459611
0.626352248487451,0.20801970308147,0.335939335996233,0.237914165793924,0.930229934923414,0.093105228922354,0.250207740074035,0.355703204288874,0.585215560072709
0.608503750930532,0.290405239848018,0.359362606163175,0.197689603039526,0.986658962438845,0.153955939815823,0.249977598078422,0.452075529898306,0.446859094711938
0.611233798290507,0.277581353117611,0.33196091733703,0.252701050451745,0.98835995764319,0.080065679870202,0.291138767133545,0.376224751044245,0.551495828795623
0.62814900139587,0.242705668654608,0.28520182550983,0.231714223285668,0.924404927991735,0.09754044782956,0.262074468384023,0.428875265892677,0.425275265827766
0.507878315994989,0.308821481363132,0.352804961447981,0.181067281196671,0.949625895658821,0.079461517382714,0.252689389412927,0.407436094605738,0.471187427644433
0.612998806418536,0.221796190544002,0.385077319856584,0.297943847681353,0.829342452277755,0.096892921333694,0.27387264877368,0.358957931761015,0.499541380742295
0.603474913223406,0.199183259682932,0.3861150315336,0.291982841919327,0.829724854856016,0.126399611856917,0.320588612399595,0.320886190020016,0.53075326627055
0.612453088288333,0.276248503566761,0.280595355097662,0.235717099608501,0.897859037095287,0.115416441188564,0.281980172449513,0.439258376951493,0.434393016031821
0.573073367060736,0.256850667737559,0.397041984855569,0.267580884147699,0.846300321172723,0.127093202177053,0.320136046581214,0.371796095180223,0.482664166252824
0.607868979960276,0.259952856835261,0.319362918158303,0.319250217143224,0.838310041762732,0.096832165652774,0.36601300577715,0.34822002954859,0.422528565606292
0.660148139075838,0.248999500804745,0.338356912704921,0.238165139746874,0.958967100171673,0.10453081951469,0.334232345079218,0.4135952004446,0.548071543293899
0.548189014094056,0.223518705225905,0.367241586776684,0.272743723473641,0.859527063447877,0.110746399191232,0.282424060959305,0.354396212608235,0.556158421685144
0.558223650821055,0.299335820762494,0.291498385985162,0.227032642315757,0.887469004295315,0.182217171567023,0.339975008111801,0.364862360748647,0.473502631913342
0.521209277391382,0.21155685979051,0.423465823926643,0.269645057208707,0.869671963545866,0.07096017894055,0.238602262641377,0.406664737591107,0.515944913056863
0.606047020582385,0.228155434738633,0.397922307247832,0.196850931847181,0.973371164810086,0.116537194725839,0.413716404046243,0.546376750318901,0.308350827186228
0.573917425698977,0.241375929888121,0.415177960253141,0.223817199467335,0.91594338721735,0.102053360535984,0.245601926456579,0.36579576263894,0.492400076920163
0.517594367232353,0.335096322460924,0.348178902975374,0.233331490752342,0.93376225345542,0.101244992709357,0.272464683934813,0.412007160826994,0.518891239421472
0.571560920847784,0.261982314182043,0.403883493779225,0.23574492560395,0.959460620686679,0.080849773996406,0.302748631679498,0.359477500585083,0.531544625567872
0.660381427651969,0.185250683704611,0.363072653028301,0.223957855409378,0.916114656336656,0.152495715769811,0.226548135118522,0.349971130716713,0.58101855869926
0.689999811313713,0.079797381593287,0.457203930893587,0.286031782780625,0.846767250033164,0.114545823801456,0.441651783004136,0.690817352270835,0.196584522264276
0.647647941305205,0.267726958525253,0.408516066767527,0.261979237877369,0.926758514426012,0.088340245475838,0.308502269151736,0.396093549060458,0.54161603831564
0.596864823059491,0.22868811003379,0.353593548509343,0.204552975653241,0.958769940857123,0.092939275799273,0.313320599082439,0.375760363900768,0.479961870364231
0.600773233922032,0.226834372955605,0.357113219294917,0.27029206083593,0.87050424609537,0.074665163284602,0.319372381886312,0.268182427139452,0.602312311163672
0.628795799883366,0.26892426369322,0.377893904979058,0.227546147309878,0.970065020376109,0.089672401212588,0.287825328993659,0.409534165071184,0.473706611558284
0.657056607968255,0.199417336277248,0.373588144485541,0.25875133771227,0.91774545383425,0.109295485618679,0.396099907073201,0.360683065668978,0.401308782979532
0.650746884306412,0.224657959350059,0.276903621269436,0.248666661077461,0.91939496486598,0.137139855482186,0.347506633245892,0.326587086179049,0.496013499954914
0.583156035901034,0.253780649750056,0.282784768341879,0.193140854295321,0.979048651250015,0.126870962728878,0.260421823039161,0.403360413262647,0.478676539283808
0.655015579185534,0.270219679047249,0.29307506487206,0.24670174994304,0.971917933968594,0.058159485801206,0.272482728246398,0.481935006257285,0.477496134192148
0.604066229153598,0.233718350581195,0.355049240063925,0.262818572398008,0.874729197533599,0.147232573831772,0.321394679791004,0.324070505118354,0.49240211334446
0.608421405756262,0.230288810371909,0.346934259073447,0.253308021528812,0.900221728201329,0.141686538819435,0.315675871604871,0.341371488335446,0.556617454896803
0.639035070640589,0.257224143370799,0.288221662311604,0.27621877856336,0.904635072188398,0.065221730069367,0.312715139876358,0.382357024991966,0.56703143993346
0.643392643178629,0.206783048582355,0.346073778339006,0.31018151605049,0.81495128674772,0.088786248634665,0.328887530894832,0.320386991797045,0.533042234553871
0.624177661923399,0.258657341094912,0.405352322216302,0.285853605822389,0.897860085054242,0.135861466820046,0.2996225279466,0.414961740984041,0.475773126911361
0.632521655740378,0.211097074629991,0.331508663196991,0.233083835851063,0.914125448377109,0.091950850859235,0.297937029062883,0.376894320773722,0.516561150116203
0.641207716836598,0.222399220454215,0.304767355502373,0.249064680524276,0.868125647671725,0.134335718853367,0.369638464264526,0.293769375696057,0.509374527611027
0.611054423307913,0.271043172540703,0.274508627936943,0.252380726414486,0.890810455779952,0.139090340914623,0.346452535872002,0.373923911263381,0.457591688288945
0.616927451045975,0.236173876320601,0.319841341439456,0.204207778449154,0.968703609807258,0.061977793259342,0.244972067923032,0.407651861526212,0.499024987733603
0.682660315435793,0.1751796086191,0.365389784031828,0.182083715758929,0.965747158363564,0.150648725935844,0.290854715784138,0.411501552748441,0.574871608102998
0.617051112585926,0.201470292430671,0.385287386890245,0.258433502519267,0.844277002212992,0.109589936389349,0.291865130482528,0.321274859581579,0.458524311195318
0.609162137259716,0.219170212001318,0.364270557571199,0.201943753807084,0.901113561682785,0.13973029172677,0.250272792453279,0.361975364922338,0.522476918530519
0.616880517179876,0.233281610812272,0.31317374813175,0.257372743568876,0.898929570032895,0.09962040741405,0.307370452495592,0.389191522578703,0.499765998210949
0.594944040694932,0.245557968125032,0.270052281700553,0.226355764487859,0.969074173710023,0.084826175935016,0.345759449330467,0.398027667086029,0.446710598395411
0.619645733599677,0.203267140650478,0.336800952265701,0.238214745327106,0.891203804347535,0.14089636748713,0.262243562037977,0.323423664756376,0.610491425786917
0.613509750132565,0.20599503015696,0.447168049243978,0.218266517332728,0.94344776643081,0.117959213105767,0.233335318829646,0.453677112438346,0.540480998871593
0.566102923888087,0.289352263968765,0.275537494498391,0.208429555772517,0.950106085267342,0.129164789223968,0.333538889815202,0.318350135975599,0.511602440892535
0.645079891990724,0.244597203491836,0.312853035950816,0.237762530267212,0.907017980973497,0.111607275667678,0.306738760925384,0.40226678657724,0.462060125261019
0.575943735050256,0.20722564852304,0.362262719174479,0.226826329072949,0.945489913787167,0.072106902648092,0.329448169540902,0.343363326712587,0.457581396312577
0.643226438618829,0.226699955681988,0.39867769017964,0.272228849659855,0.848140568267423,0.139925586021946,0.346300395605547,0.363556330995931,0.529952295034623
0.607751737989298,0.227320533336953,0.427927286289002,0.247900874117361,0.874384911870224,0.116926657693165,0.246778530139348,0.454824465314384,0.459429626290094
0.531900923634672,0.257519496896163,0.37410232812353,0.171621879851507,0.857194801407148,0.195008064225486,0.294573157195043,0.414084317784497,0.435324684251978
0.595388848727225,0.27609717128467,0.313421007216686,0.249367546639834,0.873916743114534,0.136997417848114,0.360671258908156,0.338940314531742,0.486313026614386
0.606797310266503,0.25369177381541,0.351996405545613,0.236884731130707,0.954935560268432,0.09076809260993,0.307983003166585,0.333131039555278,0.533118941410878
