session_id	gender	pitch_variant	vowel	f0	f1	f2	f3	sr	log_f1_sr	log_f2_f1	log_f3_f2
13	f	n	u	264.6069438141	340.8859217927	910.4601971974	2425.9228967068	195.4669186308	0.241535799	0.4266518987	0.4256160291
1320	f	n	a	196.0407829786	642.4062424722	1292.7273578492	2745.6229316859	176.8703345484	0.5601547552	0.3036971874	0.3271339536
1320	f	n	i	198.3591653606	322.2321630736	2692.4484849455	3441.7793911345	177.564828089	0.2588119414	0.921978516	0.1066356271
1320	f	n	u	196.4982549234	356.4664469265	790.568090634	2333.1759470439	177.0078065541	0.3040262369	0.3459206238	0.4700082095
133	f	n	a	109.9056088388	756.7291072096	1327.0042297374	2536.6003632366	145.8409461956	0.7150609659	0.2439318679	0.2813797432
133	f	n	i	227.8155098529	273.8359468728	2652.7708468597	3396.4228790835	185.9518986697	0.168089841	0.9862092781	0.1073220216
133	f	n	u	175.5728286808	326.7124595714	684.0834692582	2790.1843636944	170.4872700189	0.2824737406	0.3209433988	0.6105238047
1342	f	n	a	237.3878613811	770.4976583862	1508.1653870038	3067.6515854407	188.5206913673	0.6114122994	0.2916776461	0.3083570629
1342	f	n	i	241.5867311332	327.2932975196	2675.3575131123	3576.2657317902	189.6257072739	0.237039898	0.9124447141	0.1260479554
1342	f	n	u	242.397269636	327.7525861911	684.742394821	2447.6883373443	189.8375392262	0.2371640316	0.3199810902	0.5532289011
1343	f	n	a	216.7443069538	835.8330506427	1414.7790245658	2694.9353903206	182.8894922357	0.6599307859	0.2285690723	0.2798597453
1343	f	n	i	229.93399062	333.7241258968	2690.1176190668	3522.5262455529	186.5265167131	0.2526470241	0.9063836647	0.1170829687
1343	f	n	u	222.4834789871	399.9451005743	643.0590564016	2547.5393523182	184.4896938393	0.3360282708	0.206250478	0.5978700424
1346	f	n	a	241.2959883635	557.1299165586	1051.4720387819	2116.0280098785	189.5496070198	0.4682335913	0.2758412485	0.3037236839
1346	f	n	i	253.3430724734	262.6388569611	2460.3154298866	3409.8367823775	192.6530396195	0.1345831141	0.9716318107	0.1417428009
1346	f	n	u	262.1899990338	273.6496280703	752.4113685129	2493.4192325369	194.869959608	0.1474499671	0.4392604867	0.5203399561
1347	f	n	a	231.711643562	833.2242359173	1415.8012696641	2912.9376872001	187.0059710781	0.64890642	0.2302404037	0.313328897
1347	f	n	i	238.6544471766	354.0560095354	2595.5510447152	3339.4211022602	188.8553816301	0.2729426052	0.865157604	0.109441613
1347	f	n	u	234.7415142214	376.6717657169	798.6129408386	2577.6112761492	187.8175430776	0.3022269128	0.3263732754	0.5088810797
1349	f	n	a	254.1209595651	768.3153815077	1399.3124053761	2727.9958337095	192.8500178236	0.6003198444	0.2603751566	0.2899290184
1349	f	n	i	261.4538696832	268.3385196617	2505.8902608126	3156.2914115512	194.6874151967	0.1393451404	0.9702790287	0.1002150453
1349	f	n	u	259.151173639	281.4911336441	849.8066684765	2461.4265448672	194.11417381	0.1614074723	0.4798554146	0.4618667452
135	f	n	a	194.9059981246	595.329442753	1189.0556268083	2591.2021091973	176.5284017893	0.5279427723	0.3004448108	0.3382991161
135	f	n	i	196.407728384	247.6152923347	2630.2936124079	3095.0613163463	176.9806199419	0.1458517505	1.0262267678	0.070665027
135	f	n	u	199.6329755765	320.0587696576	776.2117485512	2444.3340087228	177.9441088533	0.2549461169	0.3847504804	0.4981803384
1350	f	n	a	207.610420232	766.4883571104	1352.6279452476	2669.044424891	180.2834679696	0.6285496587	0.2466727933	0.2951774468
1350	f	n	i	209.3281201477	276.264684863	2663.4660785877	3661.2523570616	180.7793049283	0.18417666	0.9841217978	0.1381824942
1350	f	n	u	211.7820082962	347.5347817	800.9867763568	2745.935523799	181.4829688745	0.2821624006	0.3626270705	0.5350649892
1351	f	n	a	239.707747922	825.6757149287	1420.58634866	3228.813360524	189.1328114532	0.6400426328	0.2356581258	0.3565753047
1351	f	n	i	271.962154535	321.8287366017	2545.3571359637	3536.1091644136	197.2615064873	0.2125824748	0.8981239059	0.1427769375
1351	f	n	u	278.936231688	313.2934808664	862.926320476	2452.9488204589	198.9334575726	0.197243527	0.4400223578	0.4537147712
