"vowel","u_y","u_z","u_x"
"u",0.313194477113814,0.387491084214928,0.472741687633188
"u",0.265409682891591,0.409953295455155,0.47901341126815
"u",0.391269565184461,0.567275812468092,0.338784355459611
"u",0.250207740074035,0.355703204288874,0.585215560072709
"u",0.249977598078422,0.452075529898306,0.446859094711938
"u",0.291138767133545,0.376224751044245,0.551495828795623
"u",0.262074468384023,0.428875265892677,0.425275265827766
"u",0.252689389412927,0.407436094605738,0.471187427644433
"u",0.27387264877368,0.358957931761015,0.499541380742295
"u",0.320588612399595,0.320886190020016,0.53075326627055
"u",0.281980172449513,0.439258376951493,0.434393016031821
"u",0.320136046581214,0.371796095180223,0.482664166252824
"u",0.36601300577715,0.34822002954859,0.422528565606292
"u",0.334232345079218,0.4135952004446,0.548071543293899
"u",0.282424060959305,0.354396212608235,0.556158421685144
"u",0.339975008111801,0.364862360748647,0.473502631913342
"u",0.238602262641377,0.406664737591107,0.515944913056863
"u",0.413716404046243,0.546376750318901,0.308350827186228
"u",0.245601926456579,0.36579576263894,0.492400076920163
"u",0.272464683934813,0.412007160826994,0.518891239421472
"u",0.302748631679498,0.359477500585083,0.531544625567872
"u",0.226548135118522,0.349971130716713,0.58101855869926
"u",0.441651783004136,0.690817352270835,0.196584522264276
"u",0.308502269151736,0.396093549060458,0.54161603831564
"u",0.313320599082439,0.375760363900768,0.479961870364231
"u",0.319372381886312,0.268182427139452,0.602312311163672
"u",0.287825328993659,0.409534165071184,0.473706611558284
"u",0.396099907073201,0.360683065668978,0.401308782979532
"u",0.347506633245892,0.326587086179049,0.496013499954914
"u",0.260421823039161,0.403360413262647,0.478676539283808
"u",0.272482728246398,0.481935006257285,0.477496134192148
"u",0.321394679791004,0.324070505118354,0.49240211334446
"u",0.315675871604871,0.341371488335446,0.556617454896803
"u",0.312715139876358,0.382357024991966,0.56703143993346
"u",0.328887530894832,0.320386991797045,0.533042234553871
"u",0.2996225279466,0.414961740984041,0.475773126911361
"u",0.297937029062883,0.376894320773722,0.516561150116203
"u",0.369638464264526,0.293769375696057,0.509374527611027
"u",0.346452535872002,0.373923911263381,0.457591688288945
"u",0.244972067923032,0.407651861526212,0.499024987733603
"u",0.290854715784138,0.411501552748441,0.574871608102998
"u",0.291865130482528,0.321274859581579,0.458524311195318
"u",0.250272792453279,0.361975364922338,0.522476918530519
"u",0.307370452495592,0.389191522578703,0.499765998210949
"u",0.345759449330467,0.398027667086029,0.446710598395411
"u",0.262243562037977,0.323423664756376,0.610491425786917
"u",0.233335318829646,0.453677112438346,0.540480998871593
"u",0.333538889815202,0.318350135975599,0.511602440892535
"u",0.306738760925384,0.40226678657724,0.462060125261019
"u",0.329448169540902,0.343363326712587,0.457581396312577
"u",0.346300395605547,0.363556330995931,0.529952295034623
"u",0.246778530139348,0.454824465314384,0.459429626290094
"u",0.294573157195043,0.414084317784497,0.435324684251978
"u",0.360671258908156,0.338940314531742,0.486313026614386
"u",0.307983003166585,0.333131039555278,0.533118941410878
"u",0.311235807042598,0.469314679369478,0.441048383934953
"u",0.256173075883923,0.391389617206322,0.538244695440933
"u",0.359056966105192,0.370440215905474,0.447226796690955
"u",0.292934368478249,0.316499302167994,0.572013823588984
"u",0.261450903511032,0.36909021027711,0.531909082407163
"u",0.258887669610805,0.392495025189368,0.481461653630407
"u",0.266873009920384,0.362411462976821,0.525056076196399
"u",0.264418906711262,0.41350561667188,0.437791613108064
"u",0.278889222092761,0.403543176761615,0.481780546059663
"u",0.336417936228562,0.329957127477219,0.545661018510667
"u",0.249901243696629,0.422349398909205,0.52703566980121
"u",0.326447449402386,0.368066748880487,0.451501258613317
"u",0.265993031164605,0.496942756783194,0.474709916068347
"u",0.387519662256074,0.419554859153747,0.454139620504384
"u",0.350461487552038,0.359736271993371,0.471002544819899
"u",0.339232849973691,0.328482836382607,0.484448163904589
"u",0.334399427907767,0.295128986520453,0.582681672580073
"u",0.366326468030233,0.400160341636872,0.421602515476669
"u",0.366946192448232,0.331669638319035,0.570061027081054
"u",0.312974150840658,0.425953082439671,0.474230595427868
"u",0.295052348269534,0.353740885590774,0.421775504394631
"u",0.296023139788325,0.409765985403971,0.411707863896882
"u",0.278895925550293,0.488350119253276,0.338870563862078
"u",0.25616314932377,0.390233045949511,0.548346535574751
"u",0.283246724428086,0.373670352944613,0.563284664549143
"u",0.302059175988525,0.34951866542636,0.517356146054132
"u",0.314952760696697,0.386219087955779,0.506715147438041
"u",0.307073338154469,0.439214847252908,0.345209680803416
"u",0.296768269150533,0.360512958138454,0.520013556050539
"u",0.335185368333403,0.367135144580747,0.482673520770409
"u",0.308825738258845,0.415012071826343,0.477821759184918
"u",0.344414973876338,0.374768513902854,0.500636712167173
"u",0.116719084555894,0.482278709639397,0.548865152919883
"u",0.278580781469297,0.427067681566176,0.505122820356731
"u",0.28855759036476,0.399090698818424,0.491172488602569
"u",0.255693384939548,0.353045783700241,0.520128418001792
"u",0.309252136107347,0.409725401694836,0.456766376660569
"u",0.325527858791613,0.327447020464415,0.554299497449406
"u",0.340133755427238,0.380815456742296,0.497814627538489
"u",0.221224121242899,0.438452960299251,0.491933510394383
"u",0.222878018033382,0.471134386938962,0.450146927632301
"u",0.254229270303229,0.313087030434209,0.593826703352835
"u",0.845816772093645,0.25957439342967,0.171564985138203
"u",0.370316101600529,0.291184697053359,0.566646163206271
"u",0.339614985672789,0.365235213395708,0.487755768795567
"u",0.578189796335347,0.517035088097432,0.230873154357216
"u",0.276811543714542,0.446626815361047,0.44725586866343
"u",0.238102102683204,0.391151720802399,0.497923956583326
"u",0.772240440147727,0.297468960123927,0.264231605368607
"u",0.260892040427015,0.403447095787286,0.418184519868556
"u",0.272235313981109,0.353128862404129,0.6245163901037
"u",0.277895500767747,0.398782176491541,0.508281073727827
"u",0.346052330898387,0.317610358588611,0.519162115368726
"u",0.331094340105712,0.333964950817255,0.588598808104415
"u",0.213888793626553,0.462338966742418,0.431990240051691
"u",0.248483703652202,0.374938068822232,0.501417962544654
"u",0.357391320316834,0.383232051584092,0.529704462989746
"u",0.265588549728759,0.415356052849031,0.475999018366358
"u",0.356744014067284,0.344419990569331,0.489178431291608
"u",0.325437726607102,0.296135508828606,0.487484073128365
"u",0.203256298540825,0.433594405560963,0.566419342128825
"u",0.308187390215403,0.390817741869344,0.395668596054762
"u",0.344853022922258,0.384543038250847,0.539448867648233
"u",0.219909769408346,0.338055234929528,0.614720634982811
"u",0.486938608856581,0.587729340757075,0.202658550575841
"u",0.226685331310247,0.463677919885831,0.496825123960113
"u",0.309507065673125,0.356753701353671,0.536170678694076
"u",0.293811858609218,0.420196988317003,0.45441673269143
"u",0.27369968361644,0.355952858565124,0.574360236310266
"u",0.367646103716413,0.507595090914998,0.354913750121456
"u",0.300287201044868,0.390064245564138,0.488889330773126
"u",0.328481608020449,0.341189433538146,0.546233361780941
"u",0.283685419680389,0.321812131682695,0.534437917077192
"u",0.323480947587783,0.339832176199004,0.500581040536161
"u",0.30065311436418,0.395180919395454,0.525790725371827
"u",0.311221570612222,0.332988984917611,0.553164118640134
"u",0.30098583478867,0.34637332265519,0.542640546713
"u",0.294231072065053,0.323436070854943,0.485448706129782
"u",0.12959922313396,0.467588976745919,0.518892444657154
"u",0.294869695807179,0.438460613144455,0.477584659111572
"u",0.229826182659875,0.532435441739124,0.411108373030726
"u",0.258054790925584,0.393517511635562,0.521714301617533
"u",0.303355552650239,0.337887682431487,0.504807488652402
"u",0.274530691167354,0.378269434509508,0.483294061222078
"u",0.2742247538809,0.437719193902802,0.427365072088471
"u",0.278383469747585,0.345773863477318,0.535365723682877
"u",0.214724142183407,0.433172395917727,0.487190883724829
"u",0.270137168001443,0.43727101500811,0.452755383209108
"u",0.241474350192311,0.380567264407922,0.472716806404424
"u",0.269600756907937,0.405414760602216,0.508990194877227
"u",0.263166596118865,0.443864825548918,0.483508997439786
"u",0.257803401910274,0.437133400814324,0.510255617248312
"u",0.315172123618118,0.445042715685958,0.416740304982968
"u",0.278294561324773,0.426664408768056,0.481557779736864
"u",0.330014532421719,0.402347809445169,0.465708880112807
"u",0.323407244465302,0.334134235947474,0.519290960604795
"u",0.396950192954851,0.31817708871977,0.402220623655093
"u",0.286503226349122,0.468380055315762,0.457829612401576
"u",0.311127282081521,0.357837313568897,0.453670838158746
"u",0.270387524518065,0.203839352456401,0.702183111574638
"u",0.570440028916529,0.435308688202507,0.206944135669627
"u",0.322756580918762,0.358801007474713,0.434003528852404
"u",0.294720509859305,0.344965442212314,0.517027165137056
"u",0.277433417035138,0.36931302523694,0.514544008799914
"u",0.265861478119851,0.451059564823907,0.485149444127752
"u",0.357914008315973,0.283757860867583,0.50858826340217
"u",0.38579294762446,0.690599486545444,0.255292965199546
"u",0.2249136862143,0.436470231514221,0.488932147459462
"u",0.345126251640977,0.509096221950587,0.347257632000191
"u",0.260697208157334,0.426773108558935,0.508855016653739
"u",0.434589066867277,0.217683441785471,0.553080741258876
"u",0.277920669535042,0.323052747325573,0.56319946010684
"u",0.347043246240896,0.389730427547941,0.511193774623873
"u",0.382618269704671,0.605374730583763,0.33597670814264
"u",0.37410658013902,0.510908391798784,0.344414601047672
"u",0.194939557537237,0.498167681940828,0.474426778932226
"u",0.305007581220431,0.386845244870763,0.43955463698265
"u",0.22845634842571,0.445055253879157,0.568071521885095
"u",0.301019728666155,0.366817490863972,0.552899846537967
"u",0.356586694145045,0.31086909444128,0.488685665922764
"u",0.244122885391902,0.412563968601897,0.540237201708527
"u",0.324511767974356,0.349031298838108,0.486604608858199
"u",0.276569347617685,0.400486116965517,0.472480600628949
"u",0.341695417398637,0.331439719885151,0.534759864766655
"u",0.335614867987531,0.385552673883083,0.464496192263773
"u",0.285062215972882,0.424463027558753,0.476300545512051
"u",0.342877846205519,0.418431434302826,0.496874765494211
"u",0.346960593325355,0.318895135791059,0.528805745710703
"u",0.282220521602872,0.501301535508676,0.420602903144953
"u",0.219680802875381,0.424645045550119,0.529773486143357
"u",0.179219857343343,0.419791180812474,0.423756887121047
"u",0.246346835460812,0.477326313443167,0.467800192647185
"u",0.331878663115121,0.383173969271906,0.460955407150638
"u",0.282938082041232,0.513130133510749,0.358668131147682
"u",0.389622815808065,0.241350323385806,0.566437585421617
"u",0.268221741856316,0.388493103179096,0.489687072762666
"u",0.303308385454455,0.314561355804721,0.550238926048377
"u",0.248878908139634,0.421035117333805,0.488833274684821
"u",0.274833902370402,0.467677655171563,0.479541548783981
"u",0.305588123099725,0.368279699979422,0.538928910595865
"u",0.282748062098579,0.360999455158675,0.509886494157878
"u",0.243649242125011,0.40924082850247,0.49385523933349
"u",0.271985745282422,0.362903653463975,0.531056198945697
"u",0.235653613488443,0.452850729560566,0.517371592677274
"u",0.274470247065449,0.359263164958438,0.620678932006854
"u",0.312648249421263,0.325775906554269,0.547508517871829
"u",0.304764047774527,0.361130628981368,0.526223890803975
"u",0.246594762781898,0.516460059114473,0.518035760509459
"u",0.278155698196731,0.326052738967982,0.581931761509481
"u",0.35033829609685,0.333443160863293,0.568417469798556
