"i_y","i_z","i_x"
0.1470664589,0.9991911541,0.1030336747
0.2867368571,0.8921154271,0.0982618537
0.1861944837,0.935625121,0.0928553408
0.164967791,0.9445305986,0.1528282316
0.1775870969,0.95915105,0.1420960223
0.0253655036,1.158338669,0.1482779253
0.1547967443,0.9432447457,0.150365665
0.1380987834,1.0029090121,0.1447138753
0.2316979708,0.924431809,0.1195858102
0.2179623479,0.8725013601,0.0902210738
0.1670365113,0.9620824618,0.1126478202
0.2289709437,0.8972011443,0.0877281788
0.2298446145,0.8713645622,0.1253729146
0.3009982179,0.7987564508,0.1128019569
0.166011947,0.9446908538,0.1463742439
0.1946333634,0.8875911464,0.1171733504
0.2466407521,0.9098692787,0.0640055769
0.239802161,0.9258583298,0.0788822715
0.3501074243,0.7829536444,0.0875430962
0.1866091458,0.955472321,0.1231885353
0.2221665002,0.9415345741,0.1206751001
0.1011784269,1.0123907902,0.1818391065
0.357895185,0.7507476209,0.1143230938
0.179644218,0.904994761,0.1111385406
0.2231111191,0.9459878798,0.0908127364
0.2085928095,0.9396314182,0.1328374626
0.2423015951,0.8707004307,0.1004489162
0.2001479587,0.8322693203,0.1420555522
0.2154078679,0.8936934113,0.1396629626
0.3807853605,0.7783712137,0.0884091819
0.1644184398,0.9131660483,0.1115366691
0.4123292437,0.7367698184,0.0770731719
0.2670910086,0.9078108211,0.0558301391
0.1667268403,0.8912904311,0.1775665133
0.2558506596,0.9442400808,0.0961016964
0.2577031882,0.8359415764,0.1506522042
0.1794563521,0.9484280393,0.0951207721
0.172555342,0.9571229372,0.1179290538
0.1805201735,0.9546166504,0.0996249421
0.2312004626,0.9068321757,0.1038536961
0.2040918461,0.8879055868,0.1232827803
0.3486121443,0.7742450726,0.1198794013
0.2365646638,0.9125165892,0.1386176221
0.3063852503,0.8930740195,0.076964586
0.1914864891,0.9002286606,0.1170606686
0.1851894009,0.960534204,0.1017977392
0.2442442599,0.9450780977,0.0846258097
0.2020163777,0.797981851,0.2389662864
0.2715804522,0.8741174192,0.0780939607
0.3175444272,0.8344236277,0.1030972677
0.3239929423,0.8220178603,0.0943166272
0.1735599746,0.978036633,0.1152335825
0.3430305298,0.7562827237,0.1098556345
0.2167438574,0.9228711746,0.1029851136
0.2520945253,0.8379543016,0.1254191138
0.2050169416,0.9452176884,0.1047610328
0.3210392179,0.8079205848,0.1388188931
0.2636341674,0.8671701526,0.1173169385
0.2794253421,0.9017434114,0.0877386996
0.2802498579,0.8456804991,0.1145636789
0.2982080451,0.8314059565,0.0926674677
0.1716108571,0.9484971052,0.1087697861
0.2951399855,0.8796643607,0.1173658765
0.1475442107,1.000492304,0.1343644994
0.1420992162,0.9626720867,0.1263585543
0.0963446033,1.0605475826,0.1985183025
0.1628175562,0.9610780059,0.1645085208
0.2309760502,0.9457017731,0.0911752911
0.243717172,0.8897247659,0.1053473004
0.1686593418,1.0028145101,0.0857084252
0.2111975081,0.9031075143,0.1417746189
0.1812423654,0.9873267936,0.1097024966
0.1931563892,0.9173021894,0.1340273941
0.2564802571,0.9223812428,0.0746901711
0.1759169499,1.0042746032,0.112813755
0.2313526522,0.9323642726,0.1183387979
0.227890684,0.9323516999,0.1449772265
0.3065352422,0.8564780189,0.0949124533
0.2079731639,0.9308779807,0.1085442569
0.2714341106,0.8373693866,0.125926913
0.2235241395,0.8686597167,0.0528384497
0.2514455318,0.7977833383,0.1654481625
0.1813812012,0.9550145424,0.1164443786
0.2183830494,0.919837829,0.0914388371
0.151558449,0.9785375264,0.1175177022
0.2425960252,0.8820128523,0.103910312
0.1560583798,0.9753008346,0.1092747576
0.1806345381,0.9450206724,0.079531176
0.1444908015,1.0241157399,0.1074360641
0.1873064195,0.746710731,0.2704320881
0.1179634905,1.0381875645,0.1334127988
0.2383048549,0.8277977385,0.1478425755
0.1723519697,0.9483380958,0.0754448998
0.1292679237,1.0293502097,0.0619166202
0.1480317553,0.97711123,0.118298706
0.1514732929,0.9679635352,0.1063183064
0.2973048178,0.8534927785,0.0842820051
0.1457767296,0.9770559544,0.1388902411
0.1415781838,0.9866509186,0.1773561981
0.1564357198,0.9398643636,0.1175505006
0.2237832279,0.9353049992,0.1331707845
0.1733805175,0.921044098,0.1465411041
0.2876302314,0.8641716548,0.133325497
0.1416839917,1.0080797207,0.1126070977
0.2226287551,0.9487309582,0.0953567539
0.1861843083,0.9903349885,0.0959484981
0.1546782469,0.9923270184,0.1216294395
0.2186382065,0.9339886765,0.1175699065
0.2832222734,0.8401766428,0.1196796757
0.3862494792,0.7909447723,0.1229685357
0.2782263293,0.8882916024,0.1137049244
0.28840708,0.8709693739,0.1088345645
0.2002851002,0.9688332224,0.129243698
0.198252814,0.9406977595,0.0733521939
0.1903808314,0.9557806408,0.0879261658
0.3375159412,0.832705947,0.106038452
0.1392328098,0.9712015197,0.1528753537
0.3239365885,0.9100172509,0.1009697945
0.1524912222,0.9945886826,0.1129062793
0.2738705445,0.8676836429,0.1440574085
0.1465515579,1.0068868287,0.1326067961
0.1828677748,0.9314291926,0.1433574669
0.1773249709,0.9117891356,0.1021632568
0.231045579,0.9270138964,0.1003408638
0.2736929176,0.8393938384,0.0674086014
0.201462874,0.9296317954,0.1193351665
0.1318569949,1.0478202056,0.1109373538
0.1818567005,0.9211767098,0.1163276767
0.1538889385,0.9289221389,0.0877972876
0.1606955048,0.990835062,0.1043423056
0.2958369467,0.8476146831,0.0668009558
0.2108327509,0.9574891818,0.1562873201
0.4330793838,0.7173312269,0.1114597914
0.1987974452,0.9366406452,0.0922502506
0.300438126,0.8714692239,0.1110938835
0.3275745495,0.8417411076,0.1288126958
0.2433591963,0.9043750796,0.0751098815
0.1471599042,1.0012754878,0.1278642223
0.1565135179,0.990171403,0.0909614383
0.3309548358,0.8092087,0.1181959922
0.2566788474,0.9030971331,0.1195736898
0.1253630907,1.0172036052,0.1213575144
0.1555022995,0.9689278791,0.146827283
0.2029483539,0.8966104999,0.1223360536
0.1964339163,0.9446291622,0.122637796
0.2263559518,0.9601406168,0.1057179236
0.2061997511,0.9246362392,0.1089905329
0.2265972913,0.9414211442,0.0926702089
0.3614436285,0.75849022,0.1147001694
0.2323640037,0.8901624725,0.1051627908
0.2583594232,0.8609452237,0.0857038068
0.3104391714,0.8209477185,0.1075979669
0.3243587898,0.794652831,0.1164977312
0.1814546424,0.978052232,0.1179966382
0.3155910703,0.8134275779,0.1004964798
0.3014904233,0.924192726,0.1351742813
0.224649885,0.8917691903,0.1294946904
0.2691643843,0.8703579668,0.0860575633
0.2543539926,0.9099837513,0.0961639136
0.1820801198,0.924692263,0.1300841834
0.1432171629,0.9873207069,0.0967098596
0.2088052745,0.8611616926,0.1421063848
0.2215370839,0.8889952914,0.1179212575
0.2064147067,0.9037664532,0.13086449
0.2978225982,0.8735331247,0.0789654926
0.3236575028,0.8271378121,0.1605172338
0.2427004648,0.9022352038,0.1127538357
0.2169166546,0.9475095762,0.0796157194
0.2466524275,0.9048101913,0.1092495257
0.3194954305,0.8582692727,0.0932694272
0.2545600521,0.8510489268,0.118544102
0.134914342,0.9923802932,0.1251839035
0.1930725575,0.9195170626,0.1077032239
0.1678905754,1.0010828956,0.1116393251
0.2072083589,0.9296827849,0.1063223667
0.2901369175,0.7599745071,0.1745620412
0.2029070973,0.8996174439,0.0819975911
0.1274600441,1.0115032793,0.0634623296
0.2550806237,0.8699411265,0.139425084
0.3350104249,0.8241746203,0.098876572
0.2377980162,0.8932524139,0.0988237386
0.0903727038,1.0625512627,0.1140978099
0.3057082876,0.8710063474,0.0956233833
0.2397469911,0.8922471922,0.1342829676
0.3241713973,0.8517207278,0.0711191241
0.158891142,0.9511885361,0.1472044903
0.1325023574,0.9858153122,0.0846197882
0.2946865198,0.8475414753,0.0803776998
0.1771509763,0.9291210746,0.0613314399
0.1722675719,0.9427981594,0.110310301
0.190324705,0.93686565,0.1209693055
0.1701145074,0.9579800255,0.0848809742
0.222845915,0.9615109772,0.1177902937
0.3605659127,0.7665645843,0.1172768019
0.2358249432,0.9180797231,0.0939424687
0.1901270472,0.9691869843,0.1545160034
0.1286085218,1.0090483263,0.1130482903
0.1552424443,0.9601847502,0.1320108541
0.177116685,0.9795338233,0.081313446
0.2267660442,0.9433136878,0.0745845188
0.1455686951,0.972049462,0.11240711
0.221222437,0.9011593122,0.0766284833
0.3578319537,0.7762795298,0.1127188644
0.3000973869,0.889885516,0.0618502292
0.2260492588,0.9296451899,0.1136893516
0.171447218,0.9808946763,0.0969913922
0.2952881554,0.8572940146,0.0933787526
0.4068858132,0.8358280123,0.1133209186
0.1787217991,0.9102401491,0.1591973572
0.2404045843,0.8950226118,0.1287232062
0.3062837611,0.8711856208,0.0873111827
0.1959651128,0.9432241209,0.1441011571
0.1481424983,0.9747788874,0.1381457263
0.2538425232,0.894797226,0.1030388361
0.1718403448,0.9557616378,0.0647654069
0.210118397,0.9221724689,0.1072793139
0.1806616607,0.8675143589,0.0884795056
0.1906457099,0.9495986298,0.1000650972
0.214684637,0.9163693732,0.1104726734
0.1989185501,0.9484113937,0.1424683107
0.1472315889,0.9393444726,0.0939673691
0.1818133158,0.9520576496,0.1184111195
0.2146779937,0.9297396414,0.1148502391
0.308232678,0.8484684362,0.0940236423
0.1982291106,0.931264428,0.1210043396
0.1955693158,0.9099497685,0.1195753828
0.1135771106,1.0500377816,0.0947933677
0.1792131186,0.9861406498,0.1289795949
0.3114272747,0.8105825924,0.104955513
0.1697429279,0.9315397461,0.1073029122
0.2759371422,0.9046015205,0.1017857368
0.1856029948,0.9606910583,0.1386562165
0.2951624405,0.8116695882,0.1233298163
0.1975720252,0.9246349547,0.1335825955
0.1441285417,1.0060416442,0.0967618262
0.2522473331,0.8778740239,0.1452799473
0.2029191342,0.9232142982,0.0696300586
0.2392877035,0.948795791,0.1146492261
0.2379141658,0.9302299349,0.0931052289
0.197689603,0.9866589624,0.1539559398
0.2527010505,0.9883599576,0.0800656799
0.2317142233,0.924404928,0.0975404478
0.1810672812,0.9496258957,0.0794615174
0.2979438477,0.8293424523,0.0968929213
0.2919828419,0.8297248549,0.1263996119
0.2357170996,0.8978590371,0.1154164412
0.2675808841,0.8463003212,0.1270932022
0.3192502171,0.8383100418,0.0968321657
0.2381651397,0.9589671002,0.1045308195
0.2727437235,0.8595270634,0.1107463992
0.2270326423,0.8874690043,0.1822171716
0.2696450572,0.8696719635,0.0709601789
0.1968509318,0.9733711648,0.1165371947
0.2238171995,0.9159433872,0.1020533605
0.2333314908,0.9337622535,0.1012449927
0.2357449256,0.9594606207,0.080849774
0.2239578554,0.9161146563,0.1524957158
0.2860317828,0.84676725,0.1145458238
0.2619792379,0.9267585144,0.0883402455
0.2045529757,0.9587699409,0.0929392758
0.2702920608,0.8705042461,0.0746651633
0.2275461473,0.9700650204,0.0896724012
0.2587513377,0.9177454538,0.1092954856
0.2486666611,0.9193949649,0.1371398555
0.1931408543,0.9790486513,0.1268709627
0.2467017499,0.971917934,0.0581594858
0.2628185724,0.8747291975,0.1472325738
0.2533080215,0.9002217282,0.1416865388
0.2762187786,0.9046350722,0.0652217301
0.3101815161,0.8149512867,0.0887862486
0.2858536058,0.8978600851,0.1358614668
0.2330838359,0.9141254484,0.0919508509
0.2490646805,0.8681256477,0.1343357189
0.2523807264,0.8908104558,0.1390903409
0.2042077784,0.9687036098,0.0619777933
0.1820837158,0.9657471584,0.1506487259
0.2584335025,0.8442770022,0.1095899364
0.2019437538,0.9011135617,0.1397302917
0.2573727436,0.89892957,0.0996204074
0.2263557645,0.9690741737,0.0848261759
0.2382147453,0.8912038043,0.1408963675
0.2182665173,0.9434477664,0.1179592131
0.2084295558,0.9501060853,0.1291647892
0.2377625303,0.907017981,0.1116072757
0.2268263291,0.9454899138,0.0721069026
0.2722288497,0.8481405683,0.139925586
0.2479008741,0.8743849119,0.1169266577
0.1716218799,0.8571948014,0.1950080642
0.2493675466,0.8739167431,0.1369974178
0.2368847311,0.9549355603,0.0907680926
0.2579096777,0.923434217,0.0416993276
0.1212450484,1.07457742,0.1204536042
0.3080638136,0.7886130259,0.1563658053
0.2652170776,0.9108748292,0.0833082841
0.2435387894,0.886563036,0.1267151345
0.1978251974,0.9433252614,0.1621770749
0.240912601,0.9001915343,0.1056959407
0.1883497987,0.9507707239,0.0927150965
0.2565952584,0.8193284126,0.1362535839
0.2577995354,0.8495575094,0.0835051136
0.2000621972,0.9795015526,0.1566574377
0.2597804717,0.9298987932,0.0897950724
0.2697672661,0.9229941682,0.1083287662
0.2666222041,0.9072802867,0.1182276314
0.2668038567,0.8973956486,0.1288429638
0.2426368328,0.8603536943,0.1964259525
0.3207536049,0.7714046038,0.1389586837
0.1824171082,0.9846177533,0.1243657893
0.252071056,0.9125939836,0.0830572626
0.1929022909,0.926480172,0.1721360178
0.1963324086,0.8686318082,0.0933393776
0.2257281585,0.8959766693,0.1721346358
0.2446870791,0.8298856455,0.1814337556
0.2242213112,0.9409860876,0.1209663861
0.2736301861,0.8832922006,0.1343577257
0.2116320857,0.9697436576,0.1333390181
0.2681396894,0.8741864077,0.1139023645
0.2853544392,0.7576883782,0.2023146646
0.2131670982,0.9426791063,0.160834257
0.3155196791,0.8644409017,0.0835398372
0.2742720378,0.8622352878,0.1285723768
0.2966068003,0.8711336949,0.12495619
0.0990075583,1.0298106081,0.1117875866
0.3001969724,0.88982729,0.1126539024
0.1861513081,0.9490797811,0.1351213296
0.2274571492,0.8724508118,0.134338024
0.2223506182,0.9500871787,0.1695124668
0.2399149383,0.934563552,0.1136798094
0.3073429309,0.8818840658,0.1246923054
0.2385830008,0.9683680422,0.0916301516
0.2306688302,0.9312934658,0.1022801667
0.2555881765,0.8963371857,0.1299683866
0.8535992534,0.3199749934,0.1523285813
0.2557086711,0.9081464604,0.1225704619
0.285999476,0.8750791634,0.0740902788
0.2318743222,0.935828076,0.1501343042
0.2298865006,0.9429834381,0.1057095
0.1275024732,0.9920368491,0.167999029
0.7393993394,0.3085048351,0.2453444068
0.2291482298,0.8687729133,0.1633386689
0.2390874907,1.0035798166,0.1249918596
0.2188752682,0.9077192582,0.1448998795
0.2765525337,0.8237233904,0.1794586126
0.2300056377,0.951990385,0.0399633579
0.1575072612,0.9782982031,0.0683226102
0.1794323664,0.9474793501,0.1614254041
0.245614205,0.9395374151,0.1505892272
0.2442287756,0.9426967484,0.12394418
0.2888919381,0.9690772586,0.0949167402
0.2223616433,0.8216121845,0.1790750217
0.1563427201,0.9708558636,0.1589950782
0.2196404376,0.8670562396,0.144533472
0.2895461721,0.8932433744,0.1027605432
0.1793765809,0.9665863702,0.1822350898
0.1836552224,0.9462676366,0.102932153
0.2180860835,0.925834372,0.1327275215
0.2596795551,0.922520105,0.0884091303
0.2385235489,0.9189137515,0.1421671489
0.249767871,0.9025991261,0.1529175288
0.2259941624,0.9552036325,0.1207713095
0.2785214925,0.8823147622,0.0973247889
0.2038446203,0.933511638,0.1349098762
0.2639129247,0.8521141547,0.1372033076
0.2504792347,0.8721168752,0.1480371508
0.2481689606,0.9740498854,0.0889560702
0.2562115762,0.9284650004,0.1017717187
0.2420731429,0.9305789486,0.1172314456
0.2069939779,0.9361001645,0.1336637389
0.0842106758,1.0264451152,0.2180032963
0.2149931119,0.9529855699,0.104405809
0.21391822,0.8829196013,0.1816318891
0.1754592684,0.9831457029,0.1111306375
0.2109265241,0.9965029399,0.0982826167
0.2465948959,0.9096326946,0.1136501402
0.2231192225,0.9240912091,0.1042929729
0.2703643908,0.8702336518,0.1010276934
0.2088520199,0.9195952183,0.1456684179
0.2291325357,0.9023524399,0.1769917404
0.1151291756,0.9976150156,0.1634423883
0.2285277007,0.8938311824,0.1352984884
0.2161166967,0.9577455779,0.1297709201
0.173607042,1.0134136241,0.0909477593
0.2911043657,0.8705777211,0.0980428701
0.2034153374,0.9757778184,0.1351381202
0.2879913588,0.8874062802,0.0781042055
0.2760182738,0.9305237785,0.0302618037
0.2235768133,0.987754259,0.0391748903
0.2157451567,0.9745458856,0.0975220402
0.2328452991,0.8401279557,0.1879530002
0.230391087,0.9579894856,0.1162434886
0.2770385379,0.7776888988,0.1599529395
0.2364934124,0.8793819985,0.1724615055
0.2463739816,0.8913202674,0.1252011121
0.2263660888,0.916691142,0.1091699499
0.2282223937,0.8827766552,0.1733234287
0.231895905,0.8814821742,0.0886996662
0.1899794916,0.9557224453,0.1746847332
0.2228072891,0.9412219274,0.1054064896
0.0788612772,0.998299463,0.1658085847
0.1894385697,1.0057224182,0.1488963513
0.2372599812,0.8885311292,0.1003682306
0.2693538645,0.8480079836,0.0607466699
0.2670947342,0.9287178649,0.0904224482
0.21522024,0.9893367045,0.0919472022
0.1714125101,0.9340104145,0.1084032848
0.0938565838,1.0430305169,0.1102507636
0.2558168405,0.9053028495,0.075847301
0.226956622,0.9612859085,0.1221447841
0.2783891856,0.9053343181,0.0852784614
0.2575030108,0.849523127,0.1081098883
0.2091083146,0.965879064,0.1438846228
0.2093183117,0.9435902236,0.1262407532
0.2466690643,0.8941739659,0.1277003066
0.3496366973,0.8683957401,0.0746735494
0.2268265998,0.9619538865,0.0774841051
0.2302876718,0.955192742,0.0861588694
0.2378732909,0.9692653047,0.1238033872
0.2734559689,0.8692055242,0.1374476496
0.2121248417,0.9559077937,0.1371705203
0.1883280656,0.9443402168,0.1693649528
0.2217799731,0.8299632156,0.1656390365
0.2250174424,0.9403767426,0.0907818548
0.2760041178,0.8165213129,0.1054236026
0.2115523023,0.9502169414,0.1320029419
0.2722721388,0.9009327951,0.0935708642
0.3191983004,0.7908697535,0.0902454274
0.2291536277,0.9039932345,0.1172464976
0.2478062074,0.8437215228,0.120533385
0.2314466301,0.8970076948,0.1240127892
0.2304581141,0.9573733074,0.0491791731
0.2513874446,0.8603066802,0.1168357328
0.2106594369,0.9588259472,0.0655942808
0.2552297948,0.9168428388,0.1241275876
0.22045185,0.9772136607,0.1169197236
0.2764799196,0.8800869414,0.0484733795
0.249161061,0.9577982254,0.1027125888
0.2775171549,0.8299923424,0.1379059351
0.215008846,0.9737276052,0.110246233
0.2834027133,0.9132751248,0.108836917
0.3063049689,0.8577094643,0.1250552655
0.2590764524,0.9036123583,0.0932935898
0.1667468178,0.9432638306,0.1521052
0.1764554816,0.9161390574,0.1771528984
0.2963868617,0.8509661946,0.1047685101
0.2298891738,0.9231480481,0.0771349258
0.2698513455,0.8551968938,0.1382441079
0.253984858,0.8771355688,0.1394675124
0.2320350257,0.8416162873,0.1698951926
0.3290034309,0.8714810328,0.0775983638
0.2114649495,0.9560491223,0.114407345
0.2545210981,0.8940281006,0.0964888633
0.2577988017,0.845648388,0.0380560649
0.2580497314,0.9403562622,0.0737113884
0.254890223,0.869952595,0.1006411157
0.3223167528,0.8570230583,0.1001969254
0.2031144367,0.8495465901,0.1325307863
0.2253676132,0.8209920688,0.1393660465
0.2345184128,0.8748888253,0.1649801726
0.2579840727,0.9517521692,0.1060148713
0.2374044193,0.9108646205,0.073612142
0.2969186245,0.8764444865,0.152895015
0.3179552776,0.8486883305,0.1217292227
0.2389409801,0.9481267511,0.0792553859
0.179790895,0.9294247522,0.073794167
0.2162073379,0.9551245715,0.1031391117
0.2311968018,0.8985338476,0.1232938784
0.2574876557,0.858224524,0.0967808059
0.2549661784,0.9060233674,0.1231247797
0.2463287566,0.9940902731,0.0447000072
0.1545329522,0.9466594374,0.1602291943
0.2290423041,0.9145933871,0.0970096456
0.2685353914,0.9279827446,0.1178843019
0.2329807852,0.8670412697,0.1061474961
0.2002716378,0.9444280557,0.1157926263
0.3091765589,0.8872828028,0.1323429586
0.1948935467,0.9361979205,0.1381580601
0.2016191893,0.9382900089,0.1265398458
0.2235203185,0.9663211276,0.0824262809
0.2694127282,0.8578023985,0.1324890245
0.2362662768,0.9293458388,0.1081289726
0.2144462286,0.9291064177,0.1255139448
