"vowel","a_y","a_z","a_x"
"a",0.588739222911463,0.296464774654572,0.287810955837894
"a",0.53218109434302,0.322240431843782,0.344434386137122
"a",0.643843998093962,0.253123359647731,0.357110987688184
"a",0.626352248487451,0.20801970308147,0.335939335996233
"a",0.608503750930532,0.290405239848018,0.359362606163175
"a",0.611233798290507,0.277581353117611,0.33196091733703
"a",0.62814900139587,0.242705668654608,0.28520182550983
"a",0.507878315994989,0.308821481363132,0.352804961447981
"a",0.612998806418536,0.221796190544002,0.385077319856584
"a",0.603474913223406,0.199183259682932,0.3861150315336
"a",0.612453088288333,0.276248503566761,0.280595355097662
"a",0.573073367060736,0.256850667737559,0.397041984855569
"a",0.607868979960276,0.259952856835261,0.319362918158303
"a",0.660148139075838,0.248999500804745,0.338356912704921
"a",0.548189014094056,0.223518705225905,0.367241586776684
"a",0.558223650821055,0.299335820762494,0.291498385985162
"a",0.521209277391382,0.21155685979051,0.423465823926643
"a",0.606047020582385,0.228155434738633,0.397922307247832
"a",0.573917425698977,0.241375929888121,0.415177960253141
"a",0.517594367232353,0.335096322460924,0.348178902975374
"a",0.571560920847784,0.261982314182043,0.403883493779225
"a",0.660381427651969,0.185250683704611,0.363072653028301
"a",0.689999811313713,0.079797381593287,0.457203930893587
"a",0.647647941305205,0.267726958525253,0.408516066767527
"a",0.596864823059491,0.22868811003379,0.353593548509343
"a",0.600773233922032,0.226834372955605,0.357113219294917
"a",0.628795799883366,0.26892426369322,0.377893904979058
"a",0.657056607968255,0.199417336277248,0.373588144485541
"a",0.650746884306412,0.224657959350059,0.276903621269436
"a",0.583156035901034,0.253780649750056,0.282784768341879
"a",0.655015579185534,0.270219679047249,0.29307506487206
"a",0.604066229153598,0.233718350581195,0.355049240063925
"a",0.608421405756262,0.230288810371909,0.346934259073447
"a",0.639035070640589,0.257224143370799,0.288221662311604
"a",0.643392643178629,0.206783048582355,0.346073778339006
"a",0.624177661923399,0.258657341094912,0.405352322216302
"a",0.632521655740378,0.211097074629991,0.331508663196991
"a",0.641207716836598,0.222399220454215,0.304767355502373
"a",0.611054423307913,0.271043172540703,0.274508627936943
